domain,modality,variable,class,label
actimetry,light_chest,ORIENTATION,numeric,NA
actimetry,light_chest,PIM,numeric,NA
actimetry,light_chest,PIMn,numeric,NA
actimetry,light_chest,STATE,numeric,NA
actimetry,light_chest,TAT,numeric,NA
actimetry,light_chest,TATn,numeric,NA
actimetry,light_chest,ZCM,numeric,NA
actimetry,light_chest,ZCMn,numeric,NA
actimetry,wearlog,duration,difftime,Duration of the state
actimetry,wearlog,end,POSIXct,End datetime of the state
actimetry,wearlog,start,POSIXct,Start datetime of the state
actimetry,wearlog,state,character,Wearlog state
light,light_chest,IR.LIGHT,numeric,NA
light,light_chest,LIGHT,numeric,NA
light,light_chest,MEDI,numeric,NA
light,wearlog,reason,factor,What is prompting you to remove the light glasses?
light,wearlog,wearlog_bag,numeric,Are the light glasses in the black bag we provided you with?
light,wearlog,wearlog_bp,numeric,Did you press the button on the light glasses?
light,wearlog,wearlog_motion,numeric,"Are the light glasses in motion (e.g.: in your backpack as you bike, in your pocket, on the bus)?"
light,wearlog,wearlog_place,character,"Please describe where you placed the light glasses (e.g. on kitchen table, in backpack, in drawer)."
light,wearlog,wearlog_place_english,character,Placement of the light glasses
sleep,sleepdiaries,awake_duration,numeric,"In total, how long did these awakenings last? Please answer in minutes"
sleep,sleepdiaries,awakenings,numeric,"How many times did you wake up, not counting your final awakening?"
sleep,sleepdiaries,bedtime,POSIXct,What time did you get into bed?
sleep,sleepdiaries,out_ofbed,POSIXct,What time did you get out of bed for the day?
sleep,sleepdiaries,sleep,POSIXct,Sleep onset (calculated)
sleep,sleepdiaries,sleep_duration,difftime,Sleep duration (calculated)
sleep,sleepdiaries,sleepdelay,numeric,How long did it take you to fall asleep? Please answer in minutes
sleep,sleepdiaries,sleepprep,POSIXct,What time did you try to go to sleep?
sleep,sleepdiaries,sleepquality,factor,How would you rate the quality of your sleep?
sleep,sleepdiaries,wake,POSIXct,"What time was your final awakening? i.,e. when did you wake up today?"
sleep,wearlog,duration,difftime,Duration of the state
temperature,light_chest,TEMPERATURE,numeric,NA
